unique_respondent_id,location_id,respondent_id,recall_case_id,opened_date,opened_by_username,owner_name,recalled_date,recall_status,gender,age_years_calculated,age_months_calculated,age_range,pregnant,breastfeeding,supplements,urban_rural,food_code,food_name,recipe_name,caseid,reference_food_code,base_term_food_code,food_type,include_in_analysis,food_status,eating_time,time_block,fao_who_gift_food_group_code,fao_who_gift_food_group_description,user_food_group,already_reported_food,already_reported_food_case_id,already_reported_recipe,already_reported_recipe_case_id,already_reported_recipe_name,is_ingredient,recipe_case_id,ingr_recipe_code,ingr_fraction,ingr_recipe_total_grams_consumed,short_name,food_base_term,tag_1,other_tag_1,tag_2,other_tag_2,tag_3,other_tag_3,tag_4,other_tag_4,tag_5,other_tag_5,tag_6,other_tag_6,tag_7,other_tag_7,tag_8,other_tag_8,tag_9,other_tag_9,tag_10,other_tag_10,conv_method_code,conv_method_desc,conv_option_code,conv_option_desc,measurement_amount,conv_units,portions,nsr_conv_method_code_post_cooking,nsr_conv_method_desc_post_cooking,nsr_conv_option_code_post_cooking,nsr_conv_option_desc_post_cooking,nsr_measurement_amount_post_cooking,nsr_consumed_cooked_fraction,recipe_num_ingredients,conv_factor_food_code,conv_factor_base_term_food_code,conv_factor_used,conv_factor,fct_food_code_exists,fct_base_term_food_code_exists,fct_reference_food_code_exists,fct_data_used,fct_code,total_grams,energy_kcal_per_100g,energy_kcal,water_G_per_100g,water_g,protein_g_per_100g,protein_g,<all other nutrients>,conv_factor_gap_code,conv_factor_gap_desc,fct_gap_code,fct_gap_desc
report_3,report,3,77453cd4-3f8e-430b-940e-fd0366ea748f,2020-02-27 16:03:13,nick,nick,2020-02-26,Completed,,30,361,15-49 years,pregnant_no,breastfeeding_yes,no,location_urban,1137,"Pomme de terre,a la vapeur",---,f1266cb7-2afd-4556-954c-60e818133a9e,1136,1134,food_item,yes,fourth_pass,---,2:00 - 3:59,2,"Roots, tubers, plantains and their products (2)",,0,---,---,---,---,,---,,,,potato,Pomme de terre,a la vapeur,---,I DONT KNOW,---,I DONT KNOW,---,I DONT KNOW,---,I DONT KNOW,---,I DONT KNOW,---,I DONT KNOW,---,I DONT KNOW,---,I DONT KNOW,---,I DONT KNOW,---,40,Photos (g),1,1.Small size,1,grams,1,---,---,---,---,---,---,,118,118,food_code,118,yes,yes,yes,reference_food_code,1137,118,79,93.22,78.2,72.89804,1.5,1.0934706,…,1,1 - conversion factor available,3,3 - using fct data from reference food code
report_3,report,3,77453cd4-3f8e-430b-940e-fd0366ea748f,2020-02-27 16:03:13,nick,nick,2020-02-26,Completed,,30,361,15-49 years,pregnant_no,breastfeeding_yes,no,location_urban,,"Pain de singe,Autre,en poudre",---,d926587e-554e-4aaa-9f4c-64f3940b9d7d,,1246,food_item,yes,fourth_pass,,4:00 - 5:59,5,Eggs and their products (5),,0,---,---,---,---,,---,,,,bread,Pain de singe,Autre,lite pulp,en poudre,---,I DONT KNOW,---,I DONT KNOW,---,I DONT KNOW,---,I DONT KNOW,---,I DONT KNOW,---,I DONT KNOW,---,I DONT KNOW,---,I DONT KNOW,---,53,Proxy weight (g) - modeling clay/play dough,---,,1000,grams,1.5,---,---,---,---,---,---,,,,,,no,yes,no,base_term_food_code,1246,,305,,16.2,,2.1,0,…,8,8 - no conversion factor available,2,2 - using data from base term food code
report_3,report,3,77453cd4-3f8e-430b-940e-fd0366ea748f,2020-02-27 16:03:13,nick,nick,2020-02-26,Completed,,30,361,15-49 years,pregnant_no,breastfeeding_yes,no,location_urban,,onion stew,onion stew,42e9b473-4839-4bac-bca1-c62d06e592b0,,,non_std_recipe,no,fourth_pass,,2:00 - 3:59,,,,0,---,---,---,---,,---,,,,stew,,,---,,---,,---,,---,,---,,---,,---,,---,,---,,---,10,Direct weight (g),---,,500,grams,2,10,Direct weight (g),---,,3000,0.333333333333333,4,,,,,no,no,no,,,,,,,,,,…,8,8 - no conversion factor available,7,7 - ingredients contain fct data gaps
report_3,report,3,77453cd4-3f8e-430b-940e-fd0366ea748f,2020-02-27 16:03:13,nick,nick,2020-02-26,Completed,,30,361,15-49 years,pregnant_no,breastfeeding_yes,no,location_urban,,"(i) Oignon,bulbe,frais,coupe en morceaux,cru,egoutte",onion stew,9d26a19e-8ced-45be-a237-1f2421866e31,,863,food_item,yes,fourth_pass,,2:00 - 3:59,4,Milk and milk products (4),,,---,---,---,---,yes,42e9b473-4839-4bac-bca1-c62d06e592b0,,,,(i) onion,Oignon,bulbe,---,frais,---,coupe en morceaux,---,cru,---,egoutte,---,I DONT KNOW,---,I DONT KNOW,---,I DONT KNOW,---,I DONT KNOW,---,I DONT KNOW,---,40,Photos (g),3,3.Standard size,1,grams,3,---,---,---,---,---,---,,,107,base_term_food_code,107,no,yes,no,base_term_food_code,863,321,37,118.77,89.3,,1.1,0,…,2,2 - using conversion factor from base term food code,2,2 - using data from base term food code
report_3,report,3,77453cd4-3f8e-430b-940e-fd0366ea748f,2020-02-27 16:03:13,nick,nick,2020-02-26,Completed,,30,361,15-49 years,pregnant_no,breastfeeding_yes,no,location_urban,431,"(i) Cube de bouillon,Maggi,cru",onion stew,53b8d0e5-6063-4a52-a1de-7935fc910325,429,429,food_item,yes,fourth_pass,,2:00 - 3:59,16,Food supplements and similar (16),,---,---,---,---,---,yes,42e9b473-4839-4bac-bca1-c62d06e592b0,,,,"(i) Cube de bouillon,Maggi,cru",Cube de bouillon,Maggi,---,cru,---,I DONT KNOW,---,I DONT KNOW,---,I DONT KNOW,---,I DONT KNOW,---,I DONT KNOW,---,I DONT KNOW,---,I DONT KNOW,---,I DONT KNOW,---,10,Direct weight (g),---,,100,grams,2,---,---,---,---,---,---,,1,1,food_code,1,yes,yes,yes,reference_food_code,431,200,190,380,4.3,,15.5,0,…,1,1 - conversion factor available,3,3 - using fct data from reference food code
report_3,report,3,77453cd4-3f8e-430b-940e-fd0366ea748f,2020-02-27 16:03:13,nick,nick,2020-02-26,Completed,,30,361,15-49 years,pregnant_no,breastfeeding_yes,no,location_urban,,(i) medium turkey broth,onion stew,306993c7-ae5f-4ead-b366-698276c4a561,,,non_std_food_item,yes,fourth_pass,,2:00 - 3:59,,,,,---,---,---,---,yes,42e9b473-4839-4bac-bca1-c62d06e592b0,,,,(i) broth,,,---,,---,,---,,---,,---,,---,,---,,---,,---,,---,10,Direct weight (g),---,,1000,grams,1,---,---,---,---,---,---,,,,,,no,no,no,,,,,,,,,,…,8,8 - no conversion factor available,8,8 - no fct data available
report_3,report,3,77453cd4-3f8e-430b-940e-fd0366ea748f,2020-02-27 16:03:13,nick,nick,2020-02-26,Completed,,30,361,15-49 years,pregnant_no,breastfeeding_yes,no,location_urban,1107,"(i) Poudre de poisson,crue",onion stew,80936f3a-c029-4ff6-9f83-3d7f136d105c,,,food_item,yes,fourth_pass,,2:00 - 3:59,9,Vegetables and their products (9),,---,---,---,---,---,yes,42e9b473-4839-4bac-bca1-c62d06e592b0,,,,"(i) Poudre de poisson,crue",Poudre de poisson,crue,---,I DONT KNOW,---,I DONT KNOW,---,I DONT KNOW,---,I DONT KNOW,---,I DONT KNOW,---,I DONT KNOW,---,I DONT KNOW,---,I DONT KNOW,---,I DONT KNOW,---,10,Direct weight (g),---,,1000,grams,1,---,---,---,---,---,---,,1,,food_code,1,yes,no,no,food_code,1107,1000,367,3670,35,,41.8,0,…,1,1 - conversion factor available,1,1 - fct data available
report_3,report,3,77453cd4-3f8e-430b-940e-fd0366ea748f,2020-02-27 16:03:13,nick,nick,2020-02-26,Completed,,30,361,15-49 years,pregnant_no,breastfeeding_yes,no,location_urban,,onion stew,onion stew,4904ffe9-978f-4231-adab-b4c3c8a121c5,,,non_std_recipe,no,fourth_pass,,16:00 - 17:59,,,,yes,42e9b473-4839-4bac-bca1-c62d06e592b0,yes,42e9b473-4839-4bac-bca1-c62d06e592b0,onion stew,,---,,,,stew,,,---,,---,,---,,---,,---,,---,,---,,---,,---,,---,50,Proxy weight (g) - water,---,,580,grams,1,---,---,---,---,---,,0,,,,,no,no,no,,,,,,,,,,…,8,8 - no conversion factor available,7,7 - ingredients contain fct data gaps
report_5,report,5,efc97c44-3acd-46df-b003-b1fb116693de,2020-02-27 21:41:51,nick,nick,2020-02-26,Completed,,28,348,15-49 years,pregnant_yes,breastfeeding_no,yes,location_urban,866,"Oignon,bulbe,frais,coupe en morceaux,bouilli*,egoutte",---,244b2fe4-2e71-428f-8b7c-8ac881856d16,,863,food_item,yes,fourth_pass,,6:00 - 7:59,4,Milk and milk products (4),,0,---,---,---,---,,---,,,,onion,Oignon,bulbe,---,frais,---,coupe en morceaux,---,bouilli*,---,egoutte,---,I DONT KNOW,---,I DONT KNOW,---,I DONT KNOW,---,I DONT KNOW,---,I DONT KNOW,---,10,Direct weight (g),---,,55,grams,2,---,---,---,---,---,---,,1,,food_code,1,yes,yes,no,food_code,866,110,46,50.6,87,,1.4,0,…,1,1 - conversion factor available,1,1 - fct data available
report_3,report,3,77453cd4-3f8e-430b-940e-fd0366ea748f,2020-02-27 16:03:13,nick,nick,2020-02-26,Completed,,30,361,15-49 years,pregnant_no,breastfeeding_yes,no,location_urban,,"Pain de singe,Autre,en poudre",0,2b3a814a-83bc-424f-a55c-a7487d756ed7,,1246,food_item,yes,fourth_pass,,16:00 - 17:59,5,Eggs and their products (5),,yes,d926587e-554e-4aaa-9f4c-64f3940b9d7d,---,---,---,,---,,,,bread,Pain de singe,Autre,---,en poudre,---,I DONT KNOW,---,I DONT KNOW,---,I DONT KNOW,---,I DONT KNOW,---,I DONT KNOW,---,I DONT KNOW,---,I DONT KNOW,---,I DONT KNOW,---,10,Direct weight (g),---,,3000,grams,0.7,---,---,---,---,---,---,,,1,base_term_food_code,1,no,yes,no,base_term_food_code,1246,2100,305,6405,16.2,,2.1,0,…,2,2 - using conversion factor from base term food code,2,2 - using data from base term food code
